,Name,Ground,Mat,Inns,O,M,R,W,4w,Best,Avg,S/R,E/R,BowlingScore
2105,Kwena Maphaka,Arun Jaitley Stadium ,1,1,2.0,0,22,0,0,0/22,0.0,0.0,11.0,0.0
2106,Kwena Maphaka,Rajiv Gandhi International Stadium ,1,1,4.0,0,66,0,0,0/66,0.0,0.0,16.5,0.0
2107,Kwena Maphaka,Sawai Mansingh Stadium ,1,1,3.0,0,32,1,0,1/32,32.0,18.0,10.67,0.08241305422778968
2108,Kwena Maphaka,Wankhede Stadium ,1,1,2.0,0,23,1,0,1/23,23.0,12.0,11.5,0.10752688172043011
2109,Mayank Markande,Arun Jaitley Stadium ,3,3,8.0,0,67,5,0,2/20,13.4,9.6,8.38,0.7966857871255576
2110,Mayank Markande,Eden Gardens ,3,3,12.0,0,92,5,0,2/27,18.4,14.4,7.67,0.6177415369409439
2112,Mayank Markande,M Chinnaswamy Stadium ,3,3,10.0,0,97,4,0,2/46,24.25,15.0,9.7,0.4085801838610827
2113,Mayank Markande,MA Chidambaram Stadium ,1,1,4.0,0,23,2,0,2/23,11.5,12.0,5.75,0.3418803418803419
2115,Mayank Markande,Narendra Modi Stadium ,2,2,6.0,0,60,1,0,1/33,60.0,36.0,10.0,0.04716981132075472
2116,Mayank Markande,Punjab Cricket Association IS Bindra Stadium ,1,1,1.0,0,12,0,0,0/12,0.0,0.0,12.0,0.0
2117,Mayank Markande,Rajiv Gandhi International Stadium ,9,9,32.0,0,290,11,2,4/15,26.36,17.45,9.06,1.1159447701910346
2118,Mayank Markande,Sawai Mansingh Stadium ,3,3,8.0,0,90,0,0,0/15,0.0,0.0,11.25,0.0
2119,Mayank Markande,Sheikh Zayed Stadium ,1,1,3.0,0,26,0,0,0/26,0.0,0.0,8.67,0.0
2120,Mayank Markande,Wankhede Stadium ,9,9,30.0,0,253,8,0,3/23,31.63,22.5,8.43,0.639386189258312
2122,Aiden Markram,BRSABV Ekana Cricket Stadium ,7,5,11.0,0,98,3,0,2/30,32.67,22.0,8.91,0.23592324630386916
2124,Aiden Markram,MA Chidambaram Stadium ,4,3,3.0,0,26,0,0,0/5,0.0,0.0,8.67,0.0
2126,Aiden Markram,Narendra Modi Stadium ,3,1,1.0,0,13,0,0,0/13,0.0,0.0,13.0,0.0
2127,Aiden Markram,Rajiv Gandhi International Stadium ,10,2,4.0,0,31,1,0,1/24,31.0,24.0,7.75,0.0796812749003984
2128,Aiden Markram,Sawai Mansingh Stadium ,2,1,2.0,0,18,1,0,1/18,18.0,12.0,9.0,0.1282051282051282
2129,Aiden Markram,Sharjah Cricket Stadium ,2,1,1.0,0,5,0,0,0/5,0.0,0.0,5.0,0.0
2130,Aiden Markram,Sheikh Zayed Stadium ,1,1,3.0,0,18,0,0,0/18,0.0,0.0,6.0,0.0
2131,Aiden Markram,Wankhede Stadium ,6,1,0.1,0,1,0,0,0/1,0.0,0.0,6.0,0.0
2132,Mitchell Marsh,Arun Jaitley Stadium ,7,7,17.2,1,148,9,1,4/27,16.44,11.56,8.54,1.2862616310892174
2135,Mitchell Marsh,Dr YS Rajasekhara Reddy Cricket Stadium ,3,2,4.0,0,51,1,0,1/37,51.0,24.0,12.75,0.05698005698005698
2136,Mitchell Marsh,Dubai International Cricket Stadium ,1,1,0.4,0,6,0,0,0/6,0.0,0.0,9.0,0.0
2137,Mitchell Marsh,Himachal Pradesh Cricket Association Stadium ,2,1,4.0,0,32,0,0,0/32,0.0,0.0,8.0,0.0
2138,Mitchell Marsh,M Chinnaswamy Stadium ,3,3,9.0,0,111,4,0,2/18,27.75,13.5,12.33,0.3732736095558044
2139,Mitchell Marsh,MA Chidambaram Stadium ,2,2,7.0,0,53,5,0,3/18,10.6,8.4,7.57,0.940910801656003
2140,Mitchell Marsh,Maharaja Yadavindra Singh International Cricket St ,1,1,4.0,0,52,0,0,0/52,0.0,0.0,13.0,0.0
2142,Mitchell Marsh,Punjab Cricket Association IS Bindra Stadium ,1,1,4.0,0,26,2,0,2/26,13.0,12.0,6.5,0.31746031746031744
2143,Mitchell Marsh,Rajiv Gandhi International Stadium ,5,3,10.0,0,55,6,1,4/25,9.17,10.0,5.5,1.2971220105391164
2145,Mitchell Marsh,Wankhede Stadium ,7,3,8.0,0,52,3,0,2/21,17.33,16.0,6.5,0.3766005523474768
2149,Dimitri Mascarenhas,Eden Gardens ,1,1,4.0,0,34,1,0,1/34,34.0,24.0,8.5,0.07518796992481203
2152,Dimitri Mascarenhas,Punjab Cricket Association IS Bindra Stadium ,2,2,8.0,0,48,5,1,5/25,9.6,9.6,6.0,1.0714285714285714
2153,Dimitri Mascarenhas,Rajiv Gandhi International Stadium ,1,1,4.0,0,25,0,0,0/25,0.0,0.0,6.25,0.0
2154,Dimitri Mascarenhas,Sawai Mansingh Stadium ,1,1,4.0,0,29,2,0,2/29,14.5,12.0,7.25,0.2962962962962963
2157,Angelo Mathews,Arun Jaitley Stadium ,9,8,19.0,0,170,3,0,2/15,56.67,38.0,8.95,0.1447596988998263
2160,Angelo Mathews,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,4.0,0,38,1,0,1/38,38.0,24.0,9.5,0.06993006993006994
2161,Angelo Mathews,Eden Gardens ,9,7,23.0,0,178,7,1,4/19,25.43,19.71,7.74,0.699697428139183
2163,Angelo Mathews,M Chinnaswamy Stadium ,3,2,7.0,0,60,2,0,1/25,30.0,21.0,8.57,0.16786973308712438
2164,Angelo Mathews,MA Chidambaram Stadium ,2,2,2.0,0,27,0,0,0/12,0.0,0.0,13.5,0.0
2166,Angelo Mathews,Narendra Modi Stadium ,1,1,3.0,0,33,0,0,0/33,0.0,0.0,11.0,0.0
2167,Angelo Mathews,Punjab Cricket Association IS Bindra Stadium ,2,2,7.0,0,46,2,0,1/20,23.0,21.0,6.57,0.19774569903104608
2168,Angelo Mathews,Rajiv Gandhi International Stadium ,2,2,5.0,0,57,0,0,0/16,0.0,0.0,11.4,0.0
2169,Angelo Mathews,Sawai Mansingh Stadium ,2,2,7.0,0,63,2,0,1/29,31.5,21.0,9.0,0.16260162601626016
2171,Angelo Mathews,Wankhede Stadium ,2,2,8.0,0,62,1,0,1/33,62.0,48.0,7.75,0.04246284501061571
2172,Glenn Maxwell,Arun Jaitley Stadium ,10,9,12.4,0,121,3,0,2/22,40.33,25.33,9.55,0.1994415636218588
2175,Glenn Maxwell,BRSABV Ekana Cricket Stadium ,2,2,4.0,0,25,2,0,1/3,12.5,12.0,6.25,0.3252032520325203
2177,Glenn Maxwell,Dubai International Cricket Stadium ,11,8,24.0,0,199,4,0,2/23,49.75,36.0,8.29,0.2126754572522331
2178,Glenn Maxwell,Eden Gardens ,9,4,4.0,0,46,1,0,1/5,46.0,24.0,11.5,0.06134969325153374
2179,Glenn Maxwell,Himachal Pradesh Cricket Association Stadium ,1,1,1.0,0,18,0,0,0/18,0.0,0.0,18.0,0.0
2180,Glenn Maxwell,M Chinnaswamy Stadium ,18,11,26.4,0,231,10,0,2/15,23.1,16.0,8.66,1.0469011725293131
2181,Glenn Maxwell,MA Chidambaram Stadium ,4,2,3.0,0,31,0,0,0/7,0.0,0.0,10.33,0.0
2182,Glenn Maxwell,Maharaja Yadavindra Singh International Cricket St ,3,3,5.0,0,22,2,0,1/5,11.0,15.0,4.4,0.32894736842105265
2184,Glenn Maxwell,Narendra Modi Stadium ,7,4,9.0,0,86,2,0,1/26,43.0,27.0,9.56,0.1256913021618904
2185,Glenn Maxwell,Punjab Cricket Association IS Bindra Stadium ,16,10,18.0,0,125,4,0,2/29,31.25,27.0,6.94,0.30679552078539657
2186,Glenn Maxwell,Rajiv Gandhi International Stadium ,7,4,9.0,0,88,1,0,1/28,88.0,54.0,9.78,0.03294241665568586
2187,Glenn Maxwell,Sawai Mansingh Stadium ,3,1,1.0,0,3,1,0,1/3,3.0,6.0,3.0,0.4166666666666667
2188,Glenn Maxwell,Sharjah Cricket Stadium ,8,6,15.0,0,130,2,0,1/17,65.0,45.0,8.67,0.08426729586247578
2189,Glenn Maxwell,Sheikh Zayed Stadium ,7,1,2.0,0,23,0,0,0/23,0.0,0.0,11.5,0.0
2190,Glenn Maxwell,Wankhede Stadium ,13,7,15.0,1,105,3,0,1/8,35.0,30.0,7.0,0.20833333333333334
2191,Kyle Mayers,BRSABV Ekana Cricket Stadium ,6,2,2.0,0,12,0,0,0/5,0.0,0.0,6.0,0.0
2192,Kyle Mayers,MA Chidambaram Stadium ,2,1,2.0,0,16,0,0,0/16,0.0,0.0,8.0,0.0
2193,Kyle Mayers,Narendra Modi Stadium ,1,1,1.0,0,16,0,0,0/16,0.0,0.0,16.0,0.0
2194,Kyle Mayers,Punjab Cricket Association IS Bindra Stadium ,1,1,1.0,0,4,0,0,0/4,0.0,0.0,4.0,0.0
2195,Kyle Mayers,Rajiv Gandhi International Stadium ,1,1,1.0,0,11,0,0,0/11,0.0,0.0,11.0,0.0
2196,Mitchell McClenaghan,Arun Jaitley Stadium ,2,2,8.0,0,69,4,0,2/31,17.25,12.0,8.63,0.5279831045406547
2198,Mitchell McClenaghan,Dr YS Rajasekhara Reddy Cricket Stadium ,3,3,11.0,0,88,3,0,2/24,29.33,22.0,8.0,0.25282319231417494
2199,Mitchell McClenaghan,Eden Gardens ,3,3,11.0,0,74,6,0,3/25,12.33,11.0,6.73,0.9980039920159681
2202,Mitchell McClenaghan,M Chinnaswamy Stadium ,5,5,18.0,0,156,5,0,2/20,31.2,21.6,8.67,0.40670245648283715
2203,Mitchell McClenaghan,MA Chidambaram Stadium ,1,1,4.0,0,34,1,0,1/34,34.0,24.0,8.5,0.07518796992481203
2205,Mitchell McClenaghan,Punjab Cricket Association IS Bindra Stadium ,3,3,12.0,0,92,2,0,2/32,46.0,36.0,7.67,0.11152001784320285
2206,Mitchell McClenaghan,Rajiv Gandhi International Stadium ,4,4,15.3,0,99,4,0,3/16,24.75,23.25,6.39,0.36771465342893916
2208,Mitchell McClenaghan,Sawai Mansingh Stadium ,1,1,3.0,0,32,1,0,1/32,32.0,18.0,10.67,0.08241305422778968
2209,Mitchell McClenaghan,Wankhede Stadium ,25,25,96.0,1,841,36,1,4/21,23.36,16.0,8.76,3.782211138819618
2211,Obed McCoy,Eden Gardens ,1,1,4.0,0,40,1,0,1/40,40.0,24.0,10.0,0.06756756756756757
2212,Obed McCoy,Narendra Modi Stadium ,2,2,7.1,0,49,3,0,3/23,16.33,14.33,6.84,0.4
2213,Obed McCoy,Sawai Mansingh Stadium ,1,1,1.0,0,13,0,0,0/13,0.0,0.0,13.0,0.0
2214,Obed McCoy,Wankhede Stadium ,1,1,3.0,0,52,1,0,1/52,52.0,18.0,17.33,0.057254093667697244
2215,Nathan McCullum,MA Chidambaram Stadium ,1,1,2.0,0,12,0,0,0/12,0.0,0.0,6.0,0.0
2216,Nathan McCullum,Sawai Mansingh Stadium ,1,1,3.0,0,22,0,0,0/22,0.0,0.0,7.33,0.0
2217,Andrew McDonald,Arun Jaitley Stadium ,2,2,6.0,0,54,2,0,2/37,27.0,18.0,9.0,0.18518518518518517
2219,Andrew McDonald,M Chinnaswamy Stadium ,5,4,12.0,0,95,6,0,2/25,15.83,12.0,7.92,0.8391608391608392
2220,Andrew McDonald,MA Chidambaram Stadium ,1,1,2.0,0,23,0,0,0/23,0.0,0.0,11.5,0.0
2221,Andrew McDonald,Punjab Cricket Association IS Bindra Stadium ,1,1,4.0,0,25,2,0,2/25,12.5,12.0,6.25,0.3252032520325203
2223,Glenn McGrath,Arun Jaitley Stadium ,6,6,22.0,1,172,8,1,4/29,21.5,16.5,7.82,0.9166302924487123
2225,Glenn McGrath,Eden Gardens ,1,1,4.0,0,22,0,0,0/22,0.0,0.0,5.5,0.0
2226,Glenn McGrath,M Chinnaswamy Stadium ,1,1,4.0,0,15,2,0,2/15,7.5,12.0,3.75,0.43010752688172044
2227,Glenn McGrath,MA Chidambaram Stadium ,1,1,4.0,0,21,1,0,1/21,21.0,24.0,5.25,0.09950248756218906
2228,Glenn McGrath,Punjab Cricket Association IS Bindra Stadium ,1,1,4.0,0,29,1,0,1/29,29.0,24.0,7.25,0.08298755186721991
2229,Glenn McGrath,Rajiv Gandhi International Stadium ,1,1,4.0,1,22,0,0,0/22,0.0,0.0,5.5,0.0
2230,Glenn McGrath,Sawai Mansingh Stadium ,1,1,4.0,0,12,0,0,0/12,0.0,0.0,3.0,0.0
2231,Glenn McGrath,Wankhede Stadium ,1,1,4.0,0,38,0,0,0/38,0.0,0.0,9.5,0.0
2232,Clinton McKay,Punjab Cricket Association IS Bindra Stadium ,1,1,4.0,0,36,1,0,1/36,36.0,24.0,9.0,0.07246376811594203
2233,Clinton McKay,Wankhede Stadium ,1,1,3.0,0,24,0,0,0/24,0.0,0.0,8.0,0.0
2236,Ryan McLaren,Eden Gardens ,1,1,3.0,0,26,0,0,0/26,0.0,0.0,8.67,0.0
2237,Ryan McLaren,Himachal Pradesh Cricket Association Stadium ,1,1,2.0,0,24,0,0,0/24,0.0,0.0,12.0,0.0
2238,Ryan McLaren,M Chinnaswamy Stadium ,3,3,11.0,0,95,3,0,1/21,31.67,22.0,8.64,0.24073182474723157
2239,Ryan McLaren,MA Chidambaram Stadium ,1,1,3.0,0,25,0,0,0/25,0.0,0.0,8.33,0.0
2240,Ryan McLaren,Punjab Cricket Association IS Bindra Stadium ,3,3,8.0,0,68,1,0,1/24,68.0,48.0,8.5,0.040160642570281124
2241,Ryan McLaren,Rajiv Gandhi International Stadium ,1,1,3.0,0,33,2,0,2/33,16.5,9.0,11.0,0.273972602739726
2242,Ryan McLaren,Wankhede Stadium ,1,1,4.0,0,60,2,0,2/60,30.0,12.0,15.0,0.17543859649122806
2243,Ashok Menaria,Eden Gardens ,2,1,1.0,0,3,1,0,1/3,3.0,6.0,3.0,0.4166666666666667
2244,Ashok Menaria,MA Chidambaram Stadium ,2,2,3.0,0,23,0,0,0/10,0.0,0.0,7.67,0.0
2245,Ashok Menaria,Punjab Cricket Association IS Bindra Stadium ,2,1,1.0,0,7,0,0,0/7,0.0,0.0,7.0,0.0
2246,Ashok Menaria,Rajiv Gandhi International Stadium ,2,1,1.0,0,8,0,0,0/8,0.0,0.0,8.0,0.0
2247,Ashok Menaria,Sawai Mansingh Stadium ,14,6,11.2,0,91,2,0,2/20,45.5,34.0,8.03,0.11424654404204272
2248,Ashok Menaria,Wankhede Stadium ,2,1,1.0,0,12,0,0,0/12,0.0,0.0,12.0,0.0
2249,Ajantha Mendis,Eden Gardens ,2,2,8.0,0,46,3,0,2/22,15.33,16.0,5.75,0.4045307443365696
2250,Ajantha Mendis,M Chinnaswamy Stadium ,1,1,4.0,0,44,0,0,0/44,0.0,0.0,11.0,0.0
2253,Ajantha Mendis,Punjab Cricket Association IS Bindra Stadium ,1,1,4.0,0,38,1,0,1/38,38.0,24.0,9.5,0.06993006993006994
2256,Jeevan Mendis,Rajiv Gandhi International Stadium ,1,1,3.0,0,16,1,0,1/16,16.0,18.0,5.33,0.12712941774726672
2257,Jeevan Mendis,Wankhede Stadium ,1,1,2.0,0,20,0,0,0/20,0.0,0.0,10.0,0.0
2258,Kamindu Mendis,Eden Gardens ,1,1,1.0,0,4,1,0,1/4,4.0,6.0,4.0,0.35714285714285715
2259,Kamindu Mendis,MA Chidambaram Stadium ,1,1,3.0,0,26,1,0,1/26,26.0,18.0,8.67,0.09493070058857034
2260,Kamindu Mendis,Narendra Modi Stadium ,1,1,2.0,0,18,0,0,0/18,0.0,0.0,9.0,0.0
2261,Kamindu Mendis,Rajiv Gandhi International Stadium ,1,1,1.0,0,12,0,0,0/12,0.0,0.0,12.0,0.0
2262,Riley Meredith,Arun Jaitley Stadium ,1,1,3.4,0,34,2,0,2/34,17.0,11.0,9.27,0.2683123155352831
2265,Riley Meredith,Narendra Modi Stadium ,3,3,11.0,0,113,3,0,1/29,37.67,22.0,10.27,0.21446954532456391
2266,Riley Meredith,Rajiv Gandhi International Stadium ,1,1,4.0,0,33,2,0,2/33,16.5,12.0,8.25,0.272108843537415
2267,Riley Meredith,Wankhede Stadium ,9,9,31.0,0,316,9,0,2/27,35.11,20.67,10.19,0.6821282401091405
2268,Lukman Meriwala,Wankhede Stadium ,1,1,3.0,0,32,1,0,1/32,32.0,18.0,10.67,0.08241305422778968
2269,Sudhesan Midhun,Sawai Mansingh Stadium ,1,1,2.0,0,27,0,0,0/27,0.0,0.0,13.5,0.0
2272,Tymal Mills,Eden Gardens ,1,1,4.0,0,31,2,0,2/31,15.5,12.0,7.75,0.28368794326241137
2274,Tymal Mills,M Chinnaswamy Stadium ,2,2,7.5,0,69,1,0,1/33,69.0,47.0,8.81,0.04006089255668616
2276,Tymal Mills,Rajiv Gandhi International Stadium ,1,1,4.0,0,31,1,0,1/31,31.0,24.0,7.75,0.0796812749003984
2277,Adam Milne,Dubai International Cricket Stadium ,2,2,8.0,0,69,3,0,2/21,23.0,16.0,8.63,0.31492756665966826
2278,Adam Milne,M Chinnaswamy Stadium ,2,2,8.0,0,70,3,0,2/27,23.33,16.0,8.75,0.3119800332778702
2279,Adam Milne,MA Chidambaram Stadium ,1,1,3.0,0,33,0,0,0/33,0.0,0.0,11.0,0.0
2282,Adam Milne,Sheikh Zayed Stadium ,1,1,3.0,0,29,0,0,0/29,0.0,0.0,9.67,0.0
2283,Adam Milne,Wankhede Stadium ,2,2,4.3,0,48,0,0,0/19,0.0,0.0,10.67,0.0
2284,Amit Mishra,Arun Jaitley Stadium ,44,44,152.0,2,1088,57,2,5/17,19.09,16.0,7.16,6.840236686390533
2287,Amit Mishra,BRSABV Ekana Cricket Stadium ,4,4,11.0,0,73,6,0,2/21,12.17,11.0,6.64,1.0063737001006372
2290,Amit Mishra,Dr YS Rajasekhara Reddy Cricket Stadium ,6,6,20.0,0,134,4,0,1/16,33.5,30.0,6.7,0.2849002849002849
2291,Amit Mishra,Dubai International Cricket Stadium ,3,3,12.0,0,115,0,0,0/23,0.0,0.0,9.58,0.0
2292,Amit Mishra,Eden Gardens ,7,7,23.0,0,168,4,0,2/19,42.0,34.5,7.3,0.23866348448687352
2294,Amit Mishra,Himachal Pradesh Cricket Association Stadium ,1,1,4.0,1,9,4,1,4/9,2.25,6.0,2.25,2.0952380952380953
2296,Amit Mishra,M Chinnaswamy Stadium ,6,6,19.0,0,169,5,0,2/23,33.8,22.8,8.89,0.38173766987326313
2297,Amit Mishra,MA Chidambaram Stadium ,8,8,28.0,0,183,11,1,4/24,16.64,15.27,6.54,1.482444733420026
2300,Amit Mishra,Narendra Modi Stadium ,2,2,7.0,0,40,1,0,1/27,40.0,42.0,5.71,0.0570060426405199
2302,Amit Mishra,Punjab Cricket Association IS Bindra Stadium ,7,7,20.0,0,189,2,0,1/23,94.5,60.0,9.45,0.06099420555047271
2303,Amit Mishra,Rajiv Gandhi International Stadium ,27,27,100.2,0,721,30,0,3/19,24.03,20.07,7.19,2.9245466952622343
2305,Amit Mishra,Sawai Mansingh Stadium ,5,5,14.0,0,122,5,0,3/32,24.4,16.8,8.71,0.5009016229212583
2307,Amit Mishra,Sharjah Cricket Stadium ,3,3,9.3,0,97,3,0,2/56,32.33,19.0,10.21,0.24374390640233995
2308,Amit Mishra,Sheikh Zayed Stadium ,2,2,8.0,0,61,4,0,2/26,15.25,12.0,7.63,0.573394495412844
2312,Amit Mishra,Wankhede Stadium ,7,7,26.0,1,190,6,0,2/18,31.67,26.0,7.31,0.4616805170821791
2314,Daryl Mitchell,MA Chidambaram Stadium ,7,1,2.0,0,18,1,0,1/18,18.0,12.0,9.0,0.1282051282051282
2316,Daryl Mitchell,Narendra Modi Stadium ,1,1,4.0,0,52,0,0,0/52,0.0,0.0,13.0,0.0
2317,Abhimanyu Mithun,Arun Jaitley Stadium ,2,2,7.0,0,76,3,0,2/37,25.33,14.0,10.86,0.2988643156007173
2318,Abhimanyu Mithun,Himachal Pradesh Cricket Association Stadium ,1,1,3.0,0,29,0,0,0/29,0.0,0.0,9.67,0.0
2320,Abhimanyu Mithun,M Chinnaswamy Stadium ,7,7,22.0,0,189,2,0,1/21,94.5,66.0,8.59,0.05914010290377905
2321,Abhimanyu Mithun,MA Chidambaram Stadium ,2,2,4.0,0,48,0,0,0/22,0.0,0.0,12.0,0.0
2324,Abhimanyu Mithun,Wankhede Stadium ,1,1,3.0,0,32,1,0,1/32,32.0,18.0,10.67,0.08241305422778968
2325,Moeen Ali,Arun Jaitley Stadium ,4,3,7.0,0,42,2,0,1/1,21.0,21.0,6.0,0.20833333333333334
2326,Moeen Ali,Barsapara Cricket Stadium ,1,1,4.0,0,23,2,0,2/23,11.5,12.0,5.75,0.3418803418803419
2328,Moeen Ali,BRSABV Ekana Cricket Stadium ,2,2,5.0,0,18,2,0,2/13,9.0,15.0,3.6,0.36231884057971014
2330,Moeen Ali,Dubai International Cricket Stadium ,7,5,14.0,0,97,2,0,1/21,48.5,42.0,6.93,0.10263779123473263
2331,Moeen Ali,Eden Gardens ,6,5,10.0,0,126,4,0,2/43,31.5,15.0,12.6,0.338409475465313
2333,Moeen Ali,M Chinnaswamy Stadium ,7,5,11.0,0,91,4,0,1/13,22.75,16.5,8.27,0.4208754208754209
2334,Moeen Ali,MA Chidambaram Stadium ,14,11,30.0,1,214,7,1,4/26,30.57,25.71,7.13,0.5835041791515534
2336,Moeen Ali,Punjab Cricket Association IS Bindra Stadium ,1,1,4.0,0,19,1,0,1/19,19.0,24.0,4.75,0.10471204188481675
2337,Moeen Ali,Rajiv Gandhi International Stadium ,3,3,9.0,0,71,2,0,2/23,35.5,27.0,7.89,0.14206563432305724
2338,Moeen Ali,Sawai Mansingh Stadium ,3,3,5.0,0,50,0,0,0/14,0.0,0.0,10.0,0.0
2339,Moeen Ali,Sharjah Cricket Stadium ,2,1,1.0,0,5,0,0,0/5,0.0,0.0,5.0,0.0
2340,Moeen Ali,Sheikh Zayed Stadium ,3,2,3.2,0,27,0,0,0/4,0.0,0.0,8.1,0.0
2341,Moeen Ali,Wankhede Stadium ,7,6,16.5,0,103,8,0,3/7,12.88,12.63,6.12,1.2646221941195066
2342,Mohammad Asif,Arun Jaitley Stadium ,3,3,12.0,0,126,1,0,1/33,126.0,72.0,10.5,0.023980815347721823
2344,Mohammad Asif,MA Chidambaram Stadium ,1,1,4.0,0,34,1,0,1/34,34.0,24.0,8.5,0.07518796992481203
2345,Mohammad Asif,Punjab Cricket Association IS Bindra Stadium ,1,1,4.0,0,39,2,0,2/39,19.5,12.0,9.75,0.24242424242424243
2346,Mohammad Asif,Rajiv Gandhi International Stadium ,1,1,4.0,0,19,2,0,2/19,9.5,12.0,4.75,0.38095238095238093
2347,Mohammad Asif,Wankhede Stadium ,1,1,4.0,0,32,1,0,1/32,32.0,24.0,8.0,0.078125
2348,Mohammad Hafeez,Eden Gardens ,4,2,5.0,0,24,1,0,1/8,24.0,30.0,4.8,0.08503401360544217
2349,Mohammad Hafeez,MA Chidambaram Stadium ,1,1,2.0,0,16,0,0,0/16,0.0,0.0,8.0,0.0
2350,Mohammad Hafeez,Punjab Cricket Association IS Bindra Stadium ,1,1,3.0,0,28,1,0,1/28,28.0,18.0,9.33,0.09036688957166095
2351,Mohammad Nabi,Arun Jaitley Stadium ,3,3,7.0,0,62,3,0,2/21,20.67,14.0,8.86,0.34458993797381116
2352,Mohammad Nabi,BRSABV Ekana Cricket Stadium ,1,1,1.2,0,16,1,0,1/16,16.0,8.0,12.0,0.1388888888888889
2353,Mohammad Nabi,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,4.0,0,29,0,0,0/29,0.0,0.0,7.25,0.0
2355,Mohammad Nabi,M Chinnaswamy Stadium ,1,1,2.2,0,26,0,0,0/26,0.0,0.0,11.14,0.0
2356,Mohammad Nabi,MA Chidambaram Stadium ,1,1,4.0,0,32,2,0,2/32,16.0,12.0,8.0,0.2777777777777778
2357,Mohammad Nabi,Punjab Cricket Association IS Bindra Stadium ,1,1,3.5,0,42,0,0,0/42,0.0,0.0,10.96,0.0
2358,Mohammad Nabi,Rajiv Gandhi International Stadium ,6,6,21.0,0,117,7,1,4/11,16.71,18.0,5.57,0.9185700099304865
2359,Mohammad Nabi,Sawai Mansingh Stadium ,1,1,3.0,0,30,0,0,0/30,0.0,0.0,10.0,0.0
2360,Mohammad Nabi,Sheikh Zayed Stadium ,2,2,7.0,0,56,0,0,0/23,0.0,0.0,8.0,0.0
2361,Mohammad Nabi,Wankhede Stadium ,5,5,13.0,0,90,2,0,1/23,45.0,39.0,6.92,0.10998680158380994
2362,Mohammed Shami,Arun Jaitley Stadium ,15,15,53.1,0,473,10,0,3/41,47.3,31.9,8.9,0.5675368898978433
2365,Mohammed Shami,BRSABV Ekana Cricket Stadium ,1,1,3.0,1,18,0,0,0/18,0.0,0.0,6.0,0.0
2367,Mohammed Shami,Dr YS Rajasekhara Reddy Cricket Stadium ,2,2,4.0,0,43,0,0,0/12,0.0,0.0,10.75,0.0
2368,Mohammed Shami,Dubai International Cricket Stadium ,12,12,46.4,0,331,16,0,3/15,20.69,17.5,7.09,1.7667844522968197
2369,Mohammed Shami,Eden Gardens ,5,5,20.0,0,202,7,0,3/33,28.86,17.14,10.1,0.6238859180035651
2371,Mohammed Shami,M Chinnaswamy Stadium ,4,4,16.0,0,157,5,0,2/34,31.4,19.2,9.81,0.41383876841582523
2372,Mohammed Shami,MA Chidambaram Stadium ,6,6,19.0,0,154,5,0,2/21,30.8,22.8,8.11,0.40512072597634097
2374,Mohammed Shami,Narendra Modi Stadium ,14,14,51.4,1,410,20,2,4/11,20.5,15.5,7.94,2.366863905325444
2375,Mohammed Shami,Punjab Cricket Association IS Bindra Stadium ,12,12,40.0,0,369,14,0,2/17,26.36,17.14,9.23,1.3275175421960932
2376,Mohammed Shami,Rajiv Gandhi International Stadium ,7,7,25.0,0,267,8,0,2/28,33.38,18.75,10.68,0.6368412673141219
2378,Mohammed Shami,Sawai Mansingh Stadium ,4,4,14.5,0,115,2,0,1/27,57.5,44.5,7.75,0.09111617312072894
2379,Mohammed Shami,Sharjah Cricket Stadium ,7,7,28.0,1,252,14,0,3/35,18.0,12.0,9.0,1.794871794871795
2380,Mohammed Shami,Sheikh Zayed Stadium ,6,6,23.0,0,218,4,0,1/30,54.5,34.5,9.48,0.20308692120227456
2381,Mohammed Shami,Wankhede Stadium ,11,11,41.0,0,351,16,0,3/21,21.94,15.38,8.56,1.7436791630340016
2382,Mohammed Siraj,Arun Jaitley Stadium ,4,4,14.0,0,152,3,0,2/41,50.67,28.0,10.86,0.1675416061655311
2384,Mohammed Siraj,BRSABV Ekana Cricket Stadium ,2,2,7.0,0,74,1,0,1/24,74.0,42.0,10.57,0.039503831871691555
2386,Mohammed Siraj,Dubai International Cricket Stadium ,5,5,16.0,0,121,5,0,2/25,24.2,19.2,7.56,0.49058084772370486
2387,Mohammed Siraj,Eden Gardens ,5,5,20.0,0,195,4,0,1/32,48.75,30.0,9.75,0.22598870056497175
2389,Mohammed Siraj,Himachal Pradesh Cricket Association Stadium ,1,1,4.0,0,43,3,0,3/43,14.33,8.0,10.75,0.4534461910519952
2391,Mohammed Siraj,M Chinnaswamy Stadium ,22,22,83.1,0,717,29,0,3/19,24.72,17.21,8.62,2.868447082096934
2392,Mohammed Siraj,MA Chidambaram Stadium ,5,5,17.0,2,107,3,0,2/25,35.67,34.0,6.29,0.1974723538704581
2393,Mohammed Siraj,Maharaja Yadavindra Singh International Cricket St ,1,1,4.0,0,37,1,0,1/37,37.0,24.0,9.25,0.0711743772241993
2395,Mohammed Siraj,Narendra Modi Stadium ,12,12,45.0,0,448,10,0,2/33,44.8,27.0,9.96,0.6115459882583171
2396,Mohammed Siraj,Punjab Cricket Association IS Bindra Stadium ,2,2,8.0,0,75,5,1,4/21,15.0,9.6,9.38,0.794585050029429
