,Name,Ground,Mat,Inns,NO,100s,50s,Ducks,4s,6s,HS,Runs,Avg,S/R,Ca,St,Batting_Score
2267,Shimron Hetmeyer,Wankhede Stadium ,8,7,6,0,1,0,9,13,59*,168,168.0,158.49,2,0,1.3659032475113053
2268,Ben Hilfenhaus,Arun Jaitley Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2270,Ben Hilfenhaus,Dubai International Cricket Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
2271,Ben Hilfenhaus,Eden Gardens ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2272,Ben Hilfenhaus,Himachal Pradesh Cricket Association Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2274,Ben Hilfenhaus,M Chinnaswamy Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2275,Ben Hilfenhaus,MA Chidambaram Stadium ,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2276,Ben Hilfenhaus,Sawai Mansingh Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2277,Ben Hilfenhaus,Sharjah Cricket Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2278,Ben Hilfenhaus,Sheikh Zayed Stadium ,1,1,1,0,0,0,0,0,0*,0,0.0,0.0,0,0,0.0
2279,Ben Hilfenhaus,Wankhede Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2280,Bradley Hodge,Arun Jaitley Stadium ,4,4,2,0,1,0,8,6,54*,105,52.5,156.72,1,0,0.3836984417853526
2284,Bradley Hodge,Eden Gardens ,6,6,2,0,1,1,11,1,50,93,23.25,97.89,1,0,0.10340277684996549
2287,Bradley Hodge,M Chinnaswamy Stadium ,3,3,1,0,0,0,1,0,13,19,9.5,61.29,1,0,0.01744280094938179
2288,Bradley Hodge,MA Chidambaram Stadium ,3,3,3,0,1,0,4,2,51*,63,0.0,118.87,0,0,0.0
2290,Bradley Hodge,Narendra Modi Stadium ,2,2,0,0,0,0,3,3,40,76,38.0,118.75,1,0,0.19601421966114752
2293,Bradley Hodge,Punjab Cricket Association IS Bindra Stadium ,4,3,0,0,0,0,4,4,36,68,22.67,154.55,2,0,0.14834820903672435
2294,Bradley Hodge,Rajiv Gandhi International Stadium ,1,1,0,0,0,0,1,0,8,8,8.0,114.29,1,0,0.020089663755500524
2295,Bradley Hodge,Sawai Mansingh Stadium ,17,15,4,0,0,0,23,10,48*,304,27.64,137.56,7,0,0.21749531472046799
2296,Bradley Hodge,Sheikh Zayed Stadium ,1,1,0,0,0,0,0,0,1,1,1.0,12.5,1,0,8.664339756999317e-05
2300,Bradley Hodge,Wankhede Stadium ,2,2,1,0,0,0,9,1,39,68,68.0,158.14,2,0,0.4553154897931672
2301,Brad Hogg,Arun Jaitley Stadium ,2,1,1,0,0,0,0,0,0*,0,0.0,0.0,2,0,0.0
2302,Brad Hogg,Eden Gardens ,10,1,0,0,0,0,0,0,5,5,5.0,0.0,2,0,0.0
2303,Brad Hogg,M Chinnaswamy Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2304,Brad Hogg,MA Chidambaram Stadium ,2,1,1,0,0,0,0,0,2*,0,0.0,2.0,0,0,0.0
2305,Brad Hogg,Sawai Mansingh Stadium ,4,2,1,0,0,0,1,0,13,13,13.0,118.18,0,0,0.04054489337781107
2306,Brad Hogg,Wankhede Stadium ,1,1,0,0,0,0,0,0,2,2,2.0,40.0,0,0,0.0008788898309344876
2307,Jason Holder,Arun Jaitley Stadium ,2,2,0,0,0,1,1,0,6,6,3.0,75.0,0,0,0.004378297835374454
2308,Jason Holder,Barsapara Cricket Stadium ,2,1,1,0,0,0,0,0,1*,0,0.0,1.0,0,0,0.0
2311,Jason Holder,Dubai International Cricket Stadium ,6,3,0,0,0,0,0,1,10,17,5.67,65.38,2,0,0.010714741063621943
2312,Jason Holder,Eden Gardens ,2,2,0,0,0,0,2,1,16,19,9.5,126.67,2,0,0.03604959367365298
2314,Jason Holder,M Chinnaswamy Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0.0
2315,Jason Holder,MA Chidambaram Stadium ,5,2,0,0,0,1,0,0,4,4,2.0,66.67,2,0,0.0021460245124396296
2317,Jason Holder,Rajiv Gandhi International Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0.0
2318,Jason Holder,Sawai Mansingh Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
2319,Jason Holder,Sharjah Cricket Stadium ,4,3,2,0,0,0,1,8,47*,78,78.0,177.27,0,0,0.6041661762293266
2320,Jason Holder,Sheikh Zayed Stadium ,4,4,1,0,0,0,6,0,24*,52,17.33,104.0,0,0,0.07155736521633259
2321,Jason Holder,Wankhede Stadium ,4,3,1,0,0,0,2,1,11,19,9.5,76.0,2,0,0.021629187015059816
2322,Deepak Hooda,Arun Jaitley Stadium ,6,5,0,0,1,1,4,6,54,89,17.8,148.33,3,0,0.11880730477521573
2324,Deepak Hooda,BRSABV Ekana Cricket Stadium ,11,10,0,0,1,0,10,1,50,117,11.7,111.43,5,0,0.06219689436139246
2326,Deepak Hooda,Dr YS Rajasekhara Reddy Cricket Stadium ,4,2,0,0,0,0,0,2,14,18,9.0,200.0,0,0,0.052999901624995925
2327,Deepak Hooda,Dubai International Cricket Stadium ,5,5,2,0,0,2,2,1,23*,41,13.67,89.13,3,0,0.04554003200370746
2328,Deepak Hooda,Eden Gardens ,7,6,1,0,0,0,3,6,45,92,18.4,126.03,0,0,0.10510880659846729
2330,Deepak Hooda,M Chinnaswamy Stadium ,6,4,1,0,0,0,2,0,9,19,6.33,82.61,1,0,0.015665322149388084
2331,Deepak Hooda,MA Chidambaram Stadium ,12,10,1,0,0,1,7,3,22,93,10.33,102.2,8,0,0.04796474427306783
2333,Deepak Hooda,Narendra Modi Stadium ,9,7,0,0,0,0,1,4,19,51,7.29,124.39,0,0,0.03583000052865166
2334,Deepak Hooda,Punjab Cricket Association IS Bindra Stadium ,5,4,2,0,0,0,7,2,34,64,32.0,177.78,8,0,0.23747922202945485
2335,Deepak Hooda,Rajiv Gandhi International Stadium ,20,15,4,0,0,0,9,3,32*,165,15.0,103.77,9,0,0.07957064591966377
2337,Deepak Hooda,Sawai Mansingh Stadium ,3,3,0,0,0,1,2,2,26,28,9.33,155.56,1,0,0.048872083117874526
2339,Deepak Hooda,Sharjah Cricket Stadium ,3,1,0,0,0,0,1,0,13,13,13.0,130.0,1,0,0.04460006887049787
2340,Deepak Hooda,Sheikh Zayed Stadium ,3,3,2,0,1,0,4,5,62*,91,91.0,159.65,1,0,0.6569322271565502
2341,Deepak Hooda,Wankhede Stadium ,11,11,1,0,3,0,23,11,64,262,26.2,139.36,6,0,0.20345227111216485
2342,Shai Hope,Arun Jaitley Stadium ,4,4,0,0,0,0,4,7,41,85,21.25,166.67,6,0,0.15776128857164654
2343,Shai Hope,BRSABV Ekana Cricket Stadium ,1,1,1,0,0,0,1,0,11*,11,0.0,110.0,0,0,0.0
2344,Shai Hope,Eden Gardens ,1,1,0,0,0,0,0,1,6,6,6.0,200.0,0,0,0.02335092178866376
2345,Shai Hope,M Chinnaswamy Stadium ,1,1,0,0,0,0,4,0,29,29,29.0,126.09,0,0,0.12436852357759655
2346,Shai Hope,Maharaja Yadavindra Singh International Cricket St ,1,1,0,0,0,0,2,2,33,33,33.0,132.0,0,0,0.15360826445228
2347,Shai Hope,Narendra Modi Stadium ,1,1,0,0,0,0,1,2,19,19,19.0,190.0,0,0,0.10814593507529907
2348,James Hopes,Arun Jaitley Stadium ,6,4,1,0,1,0,8,2,54,100,33.33,107.53,1,0,0.16540476092834103
2350,James Hopes,Eden Gardens ,1,1,0,0,0,0,2,0,13,13,13.0,130.0,0,0,0.04460006887049787
2351,James Hopes,Himachal Pradesh Cricket Association Stadium ,1,1,0,0,0,0,1,0,7,7,7.0,100.0,2,0,0.01455609079175885
2352,James Hopes,M Chinnaswamy Stadium ,1,1,0,0,0,0,1,0,5,5,5.0,125.0,0,0,0.011198496682675344
2353,James Hopes,MA Chidambaram Stadium ,2,2,0,0,0,0,1,1,14,22,11.0,169.23,0,0,0.058368165477785894
2354,James Hopes,Punjab Cricket Association IS Bindra Stadium ,4,4,0,0,2,0,21,7,71,167,41.75,168.69,2,0,0.36087091943871114
2355,James Hopes,Rajiv Gandhi International Stadium ,1,1,1,0,0,0,2,0,17*,17,0.0,170.0,0,0,0.0
2356,James Hopes,Sawai Mansingh Stadium ,1,1,0,0,0,0,2,0,16,16,16.0,100.0,0,0,0.04533141350489946
2357,James Hopes,Wankhede Stadium ,3,3,0,0,1,1,10,0,55,57,19.0,114.0,1,0,0.08794919560843543
2358,Akeal Hosein,Arun Jaitley Stadium ,1,1,1,0,0,0,1,1,16*,16,0.0,160.0,0,0,0.0
2359,David Hussey,Arun Jaitley Stadium ,4,4,1,0,0,0,8,5,40*,109,36.33,111.22,2,0,0.18992867196877106
2361,David Hussey,Eden Gardens ,13,13,3,0,0,1,14,13,38*,265,26.5,106.0,7,0,0.15684041131367793
2362,David Hussey,Himachal Pradesh Cricket Association Stadium ,4,4,1,0,0,0,1,0,9,15,5.0,75.0,4,0,0.01039720770839918
2366,David Hussey,M Chinnaswamy Stadium ,3,2,0,0,0,0,3,4,45,57,28.5,139.02,0,0,0.1608775943879565
2367,David Hussey,MA Chidambaram Stadium ,4,4,0,0,0,2,3,1,22,29,7.25,116.0,1,0,0.02860406997977873
2369,David Hussey,Punjab Cricket Association IS Bindra Stadium ,15,13,2,0,3,1,22,13,71,337,30.64,131.64,6,0,0.23486962137917622
2370,David Hussey,Rajiv Gandhi International Stadium ,3,3,1,0,1,0,6,5,57*,95,47.5,137.68,1,0,0.29849924302561354
2371,David Hussey,Sawai Mansingh Stadium ,3,3,0,0,0,0,6,3,42,96,32.0,135.21,1,0,0.1979349348491016
2374,David Hussey,Wankhede Stadium ,5,5,0,0,0,0,7,1,34,59,11.8,113.46,1,0,0.0548162314155069
2375,Michael Hussey,Arun Jaitley Stadium ,2,2,2,0,2,0,16,4,86*,151,0.0,139.81,3,0,0.0
2378,Michael Hussey,Dubai International Cricket Stadium ,2,2,0,0,0,0,2,0,16,17,8.5,77.27,0,0,0.018983817187274113
2379,Michael Hussey,Eden Gardens ,5,5,0,0,1,0,7,5,56,116,23.2,91.34,2,0,0.10091465639142709
2380,Michael Hussey,Himachal Pradesh Cricket Association Stadium ,1,1,0,0,0,0,1,0,7,7,7.0,70.0,0,0,0.010189263554231194
2382,Michael Hussey,M Chinnaswamy Stadium ,4,4,0,0,0,0,12,3,49,106,26.5,120.45,3,0,0.1491531917743982
2383,Michael Hussey,MA Chidambaram Stadium ,22,21,3,0,7,0,90,14,95,848,47.11,125.82,9,0,0.39974602888569993
2385,Michael Hussey,Narendra Modi Stadium ,1,1,0,0,1,0,3,2,56,56,56.0,143.59,1,0,0.3251033696670833
2387,Michael Hussey,Punjab Cricket Association IS Bindra Stadium ,4,4,2,1,1,0,19,11,116*,209,104.5,167.2,2,0,0.9342680161970789
2388,Michael Hussey,Rajiv Gandhi International Stadium ,1,1,0,0,1,0,5,4,67,67,67.0,159.52,0,0,0.45097423231689404
2389,Michael Hussey,Sawai Mansingh Stadium ,3,3,0,0,0,0,16,0,46,105,35.0,102.94,1,0,0.16801904712176366
2390,Michael Hussey,Sharjah Cricket Stadium ,1,1,0,0,0,0,0,0,10,10,10.0,55.56,1,0,0.013322706135667748
2391,Michael Hussey,Sheikh Zayed Stadium ,1,1,0,0,0,0,0,0,3,3,3.0,23.08,0,0,0.0009598702156394121
2393,Michael Hussey,Wankhede Stadium ,6,6,0,0,1,1,16,6,56,157,26.17,133.05,3,0,0.17627543303504709
2394,Imran Tahir,Arun Jaitley Stadium ,11,1,1,0,0,0,0,0,3*,0,0.0,3.0,2,0,0.0
2395,Imran Tahir,Dr YS Rajasekhara Reddy Cricket Stadium ,3,1,0,0,0,0,1,0,5,5,5.0,71.43,1,0,0.006399268944348
2396,Imran Tahir,Dubai International Cricket Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2397,Imran Tahir,Eden Gardens ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2399,Imran Tahir,M Chinnaswamy Stadium ,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2400,Imran Tahir,MA Chidambaram Stadium ,10,2,1,0,0,0,0,0,2,2,2.0,0.0,3,0,0.0
2402,Imran Tahir,Narendra Modi Stadium ,1,1,0,0,0,0,1,0,4,4,4.0,66.67,0,0,0.004292049024879259
2403,Imran Tahir,Punjab Cricket Association IS Bindra Stadium ,3,1,0,0,0,0,1,0,4,4,4.0,100.0,2,0,0.006437751649736401
2404,Imran Tahir,Rajiv Gandhi International Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
2406,Imran Tahir,Sawai Mansingh Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2407,Imran Tahir,Sharjah Cricket Stadium ,1,1,1,0,0,0,2,0,13*,13,0.0,130.0,0,0,0.0
2408,Imran Tahir,Sheikh Zayed Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2409,Imran Tahir,Wankhede Stadium ,6,1,1,0,0,0,0,0,2*,0,0.0,2.0,1,0,0.0
2411,Baba Indrajith,Wankhede Stadium ,2,2,0,0,0,0,2,0,15,21,10.5,87.5,1,0,0.02839895254022953
2412,Josh Inglis,Eden Gardens ,1,1,1,0,0,0,2,0,11*,11,0.0,183.33,0,0,0.0
2413,Josh Inglis,Himachal Pradesh Cricket Association Stadium ,1,1,0,0,0,0,1,4,30,30,30.0,214.29,0,0,0.2207607354147366
2414,Josh Inglis,M Chinnaswamy Stadium ,1,1,0,0,0,0,2,0,14,14,14.0,82.35,1,0,0.031221110768507376
2415,Josh Inglis,MA Chidambaram Stadium ,1,1,1,0,0,0,1,0,6*,6,0.0,100.0,2,0,0.0
2416,Josh Inglis,Maharaja Yadavindra Singh International Cricket St ,3,3,0,0,0,0,2,1,29,35,11.67,116.67,3,1,0.048791004335947
2417,Josh Inglis,Narendra Modi Stadium ,2,2,0,0,0,0,6,6,39,77,38.5,175.0,2,0,0.2935332571982113
2418,Josh Inglis,Sawai Mansingh Stadium ,2,2,0,0,1,0,12,5,73,105,52.5,194.44,1,0,0.4760485261660539
2419,Colin Ingram,Arun Jaitley Stadium ,7,7,1,0,0,0,7,1,19,72,12.0,105.88,0,0,0.05451286147545499
2420,Colin Ingram,Eden Gardens ,1,1,1,0,0,0,1,1,14*,14,0.0,233.33,0,0,0.0
2421,Colin Ingram,M Chinnaswamy Stadium ,1,1,0,0,0,0,2,1,22,22,22.0,104.76,1,0,0.0722643622933623
2422,Colin Ingram,MA Chidambaram Stadium ,2,2,0,0,0,0,1,0,7,8,4.0,47.06,0,0,0.0041360555443777
2423,Colin Ingram,Punjab Cricket Association IS Bindra Stadium ,1,1,0,0,0,0,4,1,38,38,38.0,131.03,0,0,0.1824138633470997
2424,Colin Ingram,Sawai Mansingh Stadium ,1,1,1,0,0,0,0,0,3*,3,0.0,60.0,0,0,0.0
2425,Colin Ingram,Wankhede Stadium ,2,2,0,0,0,0,7,1,47,48,24.0,141.18,0,0,0.131867325524942
2426,Iqbal Abdulla,Arun Jaitley Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2429,Iqbal Abdulla,Eden Gardens ,15,3,3,0,0,0,1,0,12*,0,0.0,14.0,6,0,0.0
2431,Iqbal Abdulla,M Chinnaswamy Stadium ,6,4,3,0,0,0,8,1,33*,62,62.0,126.53,1,0,0.32502311889679875
2432,Iqbal Abdulla,MA Chidambaram Stadium ,5,3,2,0,0,1,0,0,3*,3,3.0,42.86,2,0,0.0017824972895279553
2434,Iqbal Abdulla,Narendra Modi Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2436,Iqbal Abdulla,Punjab Cricket Association IS Bindra Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2437,Iqbal Abdulla,Rajiv Gandhi International Stadium ,2,1,1,0,0,0,0,0,2*,2,0.0,66.67,0,0,0.0
2439,Iqbal Abdulla,Sawai Mansingh Stadium ,2,1,1,0,0,0,0,0,1*,1,0.0,50.0,0,0,0.0
2441,Iqbal Abdulla,Sheikh Zayed Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
2442,Iqbal Abdulla,Wankhede Stadium ,3,1,1,0,0,0,0,0,6*,6,0.0,54.55,2,0,0.0
2443,Ishan Kishan,Arun Jaitley Stadium ,6,6,0,0,0,0,14,1,31,91,15.17,107.06,1,0,0.07343837732343063
2445,Ishan Kishan,BRSABV Ekana Cricket Stadium ,4,4,1,0,2,0,21,8,94*,220,73.33,145.7,3,0,0.5767494737046464
2447,Ishan Kishan,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,0,0,0,0,0,0,2,2,2.0,40.0,0,0,0.0008788898309344876
2448,Ishan Kishan,Dubai International Cricket Stadium ,7,7,3,0,3,0,20,16,99,286,71.5,156.28,0,0,0.6323916746854232
2449,Ishan Kishan,Eden Gardens ,4,4,0,0,1,0,10,8,62,108,27.0,183.05,2,0,0.2318628320573521
2452,Ishan Kishan,M Chinnaswamy Stadium ,3,3,0,0,0,1,6,0,16,26,8.67,104.0,1,0,0.029717901853387834
2453,Ishan Kishan,MA Chidambaram Stadium ,9,9,0,0,0,0,13,4,44,167,18.56,95.98,3,0,0.09127772044512396
2454,Ishan Kishan,Maharaja Yadavindra Singh International Cricket St ,1,1,0,0,0,0,1,0,8,8,8.0,100.0,2,0,0.017577796618689755
2456,Ishan Kishan,Narendra Modi Stadium ,4,3,0,0,0,1,1,0,13,26,8.67,61.9,1,1,0.017687866583891414
2457,Ishan Kishan,Punjab Cricket Association IS Bindra Stadium ,3,3,0,0,1,0,12,4,75,115,38.33,157.53,1,1,0.28702771297315094
2458,Ishan Kishan,Rajiv Gandhi International Stadium ,11,10,2,1,0,1,26,12,106*,254,31.75,147.67,9,0,0.25980338809905046
2460,Ishan Kishan,Sawai Mansingh Stadium ,2,2,0,0,1,1,4,3,58,58,29.0,128.89,1,0,0.15241060233205236
2461,Ishan Kishan,Sharjah Cricket Stadium ,4,4,2,0,2,0,13,12,68*,182,91.0,158.26,4,0,0.7502524834793018
2462,Ishan Kishan,Sheikh Zayed Stadium ,8,7,0,0,1,1,21,10,84,216,30.86,145.95,0,0,0.24231149138601238
2463,Ishan Kishan,Wankhede Stadium ,31,29,0,0,2,2,66,34,69,659,22.72,145.47,21,3,0.2145736164634572
2464,Shreyas Iyer,Arun Jaitley Stadium ,28,28,3,0,7,2,59,42,93*,852,34.08,127.74,12,0,0.29379909439851687
2466,Shreyas Iyer,Barsapara Cricket Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2468,Shreyas Iyer,BRSABV Ekana Cricket Stadium ,2,2,1,0,1,0,6,4,52*,75,75.0,166.67,0,0,0.541352494369142
2470,Shreyas Iyer,Dr YS Rajasekhara Reddy Cricket Stadium ,5,5,0,0,1,0,6,7,60,107,21.4,120.22,4,0,0.12045756465072296
2471,Shreyas Iyer,Dubai International Cricket Stadium ,13,13,2,0,2,0,18,11,65*,320,29.09,108.47,8,0,0.18211160879827804
2472,Shreyas Iyer,Eden Gardens ,13,13,3,0,1,2,29,10,50,289,28.9,129.6,6,0,0.21236198804168155
2474,Shreyas Iyer,Himachal Pradesh Cricket Association Stadium ,1,1,0,0,0,0,4,2,45,45,45.0,180.0,0,0,0.3101199531156167
2475,Shreyas Iyer,M Chinnaswamy Stadium ,6,6,1,0,2,1,15,8,67,185,37.0,135.04,2,0,0.26110338740274536
2476,Shreyas Iyer,MA Chidambaram Stadium ,5,5,1,0,1,0,14,5,72,163,40.75,142.98,2,0,0.2971404025039988
2477,Shreyas Iyer,Maharaja Yadavindra Singh International Cricket St ,5,5,0,0,0,1,3,1,10,27,5.4,100.0,3,0,0.017993904354946102
2479,Shreyas Iyer,Narendra Modi Stadium ,4,4,3,0,3,0,15,21,97*,243,243.0,222.94,3,0,2.9780590024768854
2480,Shreyas Iyer,Punjab Cricket Association IS Bindra Stadium ,3,3,0,0,0,0,6,1,28,45,15.0,112.5,0,0,0.06460832356575348
2481,Shreyas Iyer,Rajiv Gandhi International Stadium ,4,4,1,0,2,0,19,10,82,221,73.67,154.55,2,0,0.6151325576276714
2482,Shreyas Iyer,Sawai Mansingh Stadium ,5,5,2,0,1,0,11,4,53,113,37.67,141.25,2,0,0.2520077912158166
2484,Shreyas Iyer,Sharjah Cricket Stadium ,6,6,3,0,1,0,15,6,88*,197,65.67,136.81,2,0,0.475114446448602
2485,Shreyas Iyer,Sheikh Zayed Stadium ,6,6,0,0,0,0,14,2,47,177,29.5,115.69,2,0,0.17684675898532096
2486,Shreyas Iyer,Wankhede Stadium ,9,9,2,0,0,0,23,3,42,196,28.0,120.99,3,0,0.1789801493592026
2487,Venkatesh Iyer,Arun Jaitley Stadium ,2,2,0,0,0,1,1,0,7,7,3.5,100.0,0,0,0.007278045395879425
2488,Venkatesh Iyer,Barsapara Cricket Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2490,Venkatesh Iyer,BRSABV Ekana Cricket Stadium ,1,1,1,0,0,0,0,0,1*,1,0.0,100.0,0,0,0.0
2492,Venkatesh Iyer,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,1,0,0,0,1,0,5*,5,0.0,250.0,0,0,0.0
2493,Venkatesh Iyer,Dubai International Cricket Stadium ,3,3,0,0,2,0,14,4,67,125,41.67,131.58,3,0,0.26517036748105866
2494,Venkatesh Iyer,Eden Gardens ,20,17,1,0,2,0,39,15,60,399,24.94,136.64,9,0,0.20417722469977853
2495,Venkatesh Iyer,M Chinnaswamy Stadium ,2,2,0,0,1,0,6,4,50,81,40.5,144.64,1,0,0.25814208812934214
2496,Venkatesh Iyer,MA Chidambaram Stadium ,4,3,1,0,1,0,6,3,52*,64,32.0,168.42,0,0,0.2249760972786634
2497,Venkatesh Iyer,Maharaja Yadavindra Singh International Cricket St ,1,1,0,0,0,0,0,0,7,7,7.0,175.0,1,0,0.025473158885577985
2499,Venkatesh Iyer,Narendra Modi Stadium ,2,2,1,0,2,0,13,9,83,134,134.0,197.06,0,0,1.295288820104363
2500,Venkatesh Iyer,Punjab Cricket Association IS Bindra Stadium ,1,1,0,0,0,0,3,1,34,34,34.0,121.43,0,0,0.1467868111362642
2501,Venkatesh Iyer,Rajiv Gandhi International Stadium ,1,1,0,0,0,0,1,0,7,7,7.0,175.0,0,0,0.025473158885577985
2502,Venkatesh Iyer,Sharjah Cricket Stadium ,4,4,0,0,1,0,9,6,55,133,33.25,109.92,2,0,0.1790082081445259
2503,Venkatesh Iyer,Sheikh Zayed Stadium ,3,3,1,0,1,0,14,4,53,112,56.0,155.56,2,0,0.4118197714841794
2504,Venkatesh Iyer,Wankhede Stadium ,6,6,0,1,1,0,14,12,104,202,33.67,137.41,1,0,0.24582050622643048
2505,Will Jacks,Arun Jaitley Stadium ,1,1,1,0,0,0,0,0,1*,1,0.0,100.0,1,0,0.0
2506,Will Jacks,BRSABV Ekana Cricket Stadium ,1,1,0,0,0,0,0,0,5,5,5.0,71.43,0,0,0.006399268944348
2507,Will Jacks,Eden Gardens ,1,1,0,0,1,0,4,5,55,55,55.0,171.88,0,0,0.38053259673195666
2508,Will Jacks,Himachal Pradesh Cricket Association Stadium ,1,1,0,0,0,0,1,1,12,12,12.0,171.43,1,0,0.05276511220195575
2509,Will Jacks,M Chinnaswamy Stadium ,3,3,0,0,0,0,4,2,41,49,16.33,136.11,2,0,0.0869516081921991
2510,Will Jacks,MA Chidambaram Stadium ,1,1,0,0,0,0,2,0,11,11,11.0,157.14,1,0,0.042952605404245496
2511,Will Jacks,Narendra Modi Stadium ,1,1,1,1,0,0,5,10,100*,100,0.0,243.9,0,0,0.0
2512,Will Jacks,Rajiv Gandhi International Stadium ,2,2,0,0,0,0,2,1,22,28,14.0,100.0,0,0,0.04714214161981064
2513,Will Jacks,Sawai Mansingh Stadium ,2,1,0,0,0,0,2,1,17,17,17.0,212.5,1,0,0.10441467975399893
2514,Will Jacks,Wankhede Stadium ,8,7,0,0,1,0,18,9,53,185,26.43,136.03,3,0,0.18787985398266216
2517,Sheldon Jackson,Eden Gardens ,2,2,1,0,0,0,4,0,12*,22,22.0,157.14,2,0,0.10839654344004344
2518,Sheldon Jackson,M Chinnaswamy Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
2519,Sheldon Jackson,Rajiv Gandhi International Stadium ,1,1,0,0,0,0,1,0,16,16,16.0,94.12,0,0,0.042665926390811376
2520,Sheldon Jackson,Wankhede Stadium ,1,1,1,0,0,0,0,0,3*,3,0.0,100.0,0,1,0.0
2521,David Jacobs,Arun Jaitley Stadium ,1,1,0,0,0,0,0,0,1,1,1.0,16.67,0,1,0.00011554763499934289
2523,David Jacobs,M Chinnaswamy Stadium ,1,1,0,0,0,0,2,2,22,22,22.0,137.5,1,0,0.09484870003185678
2524,David Jacobs,Rajiv Gandhi International Stadium ,1,1,0,0,0,0,5,1,32,32,32.0,160.0,0,1,0.1790211871470838
2525,David Jacobs,Sawai Mansingh Stadium ,1,1,0,0,0,0,0,1,15,15,15.0,100.0,1,0,0.04158883083359672
2526,David Jacobs,Wankhede Stadium ,2,2,0,0,0,1,2,0,10,10,5.0,50.0,1,0,0.0059947381819959265
2527,Ravindra Jadeja,Arun Jaitley Stadium ,15,10,6,0,0,0,10,7,29,160,40.0,125.98,3,0,0.25606212876029705
2529,Ravindra Jadeja,Barsapara Cricket Stadium ,1,1,1,0,0,0,2,1,32*,32,0.0,145.45,0,0,0.0
2531,Ravindra Jadeja,BRSABV Ekana Cricket Stadium ,3,2,1,0,1,0,5,1,57*,64,64.0,125.49,1,0,0.33526006943949016
2535,Ravindra Jadeja,Dr YS Rajasekhara Reddy Cricket Stadium ,3,2,1,0,0,0,5,3,48,69,69.0,150.0,0,0,0.43971925755210867
2536,Ravindra Jadeja,Dubai International Cricket Stadium ,14,10,6,0,1,0,16,6,50,203,50.75,130.13,8,0,0.35121382956046604
2537,Ravindra Jadeja,Eden Gardens ,14,13,7,0,0,1,15,13,36*,220,36.67,149.66,6,0,0.29625290726768416
2539,Ravindra Jadeja,Himachal Pradesh Cricket Association Stadium ,2,2,0,0,0,0,5,2,43,56,28.0,140.0,0,0,0.15848760969911435
2543,Ravindra Jadeja,M Chinnaswamy Stadium ,15,12,3,0,1,0,17,7,77*,208,23.11,131.65,9,0,0.16253686011706678
2544,Ravindra Jadeja,MA Chidambaram Stadium ,55,41,10,0,0,3,31,18,38*,518,16.71,120.47,24,0,0.1258541824405146
2545,Ravindra Jadeja,Maharaja Yadavindra Singh International Cricket St ,1,1,1,0,0,0,0,1,9*,9,0.0,180.0,0,0,0.0
2548,Ravindra Jadeja,Narendra Modi Stadium ,5,4,2,0,0,0,4,3,21*,55,27.5,152.78,1,0,0.16912313861039194
2551,Ravindra Jadeja,Punjab Cricket Association IS Bindra Stadium ,6,3,1,0,0,0,1,1,19,34,17.0,109.68,5,0,0.06629159781530701
2552,Ravindra Jadeja,Rajiv Gandhi International Stadium ,8,7,5,0,0,0,9,0,31*,93,46.5,113.41,5,0,0.2395936034846171
